
b'2018-11-24T20:36:46.800000Z 4152.55\n'
b'2018-11-24T20:36:47.350000Z 4152.52\n'
b'2018-11-24T20:36:49.905000Z 4152.37\n'
b'2018-11-24T20:36:49.905000Z 4152.37\n'
b'2018-11-24T20:36:50.771000Z 4152.21\n'
b'2018-11-24T20:36:50.771000Z 4152.22\n'
b'2018-11-24T20:36:54.022000Z 4151.66\n'
b'2018-11-24T20:36:57.846000Z 4149.81\n'
b'2018-11-24T20:36:57.846000Z 4149.8\n'
b'2018-11-24T20:36:59.611000Z 4150.5\n'
b'2018-11-24T20:36:59.634000Z 4149.02\n'
b'2018-11-24T20:37:00.288000Z 4150.42\n'
b'2018-11-24T20:37:02.851000Z 4150.29\n'
b'2018-11-24T20:37:02.851000Z 4150.39\n'
b'2018-11-24T20:37:06.508000Z 4149.89\n'
b'2018-11-24T20:37:07.538000Z 4149.9\n'
b'2018-11-24T20:37:11.461000Z 4149.9\n'
b'2018-11-24T20:37:11.461000Z 4151.94\n'
b'2018-11-24T20:37:11.684000Z 4151.92\n'
b'2018-11-24T20:37:12.124000Z 4151.86\n'
b'2018-11-24T20:37:12.124000Z 4151.87\n'
b'2018-11-24T20:37:15.460000Z 4152.65\n'
b'2018-11-24T20:37:19.600000Z 4152.31\n'
b'2018-11-24T20:37:20.964000Z 4152.15\n'
b'2018-11-24T20:37:22.394000Z 4150.16\n'
b'2018-11-24T20:37:27.401000Z 4151.1\n'
b'2018-11-24T20:37:29.088000Z 4151.54\n'
b'2018-11-24T20:37:29.618000Z 4150.96\n'
b'2018-11-24T20:37:32.246000Z 4150.32\n'
b'2018-11-24T20:37:33.155000Z 4150.69\n'
b'2018-11-24T20:37:36.113000Z 4150.38\n'
b'2018-11-24T20:37:39.103000Z 4151.65\n'
b'2018-11-24T20:37:39.134000Z 4150.09\n'
b'2018-11-24T20:37:39.426000Z 4151.62\n'
b'2018-11-24T20:37:42.866000Z 4151.68\n'
b'2018-11-24T20:37:42.866000Z 4151.68\n'
b'2018-11-24T20:37:47.701000Z 4150.88\n'
b'2018-11-24T20:37:49.125000Z 4150.81\n'
b'2018-11-24T20:37:50.153000Z 4150.0\n'
b'2018-11-24T20:37:51.762000Z 4150.23\n'
b'2018-11-24T20:37:51.762000Z 4150.22\n'
b'2018-11-24T20:37:51.762000Z 4150.22\n'
b'2018-11-24T20:37:51.825000Z 4151.0\n'
b'2018-11-24T20:37:55.521000Z 4151.0\n'
b'2018-11-24T20:37:57.324000Z 4151.0\n'
b'2018-11-24T20:37:58.017000Z 4154.71\n'
b'2018-11-24T20:38:00.673000Z 4154.71\n'
b'2018-11-24T20:38:00.955000Z 4154.71\n'
b'2018-11-24T20:38:10.473000Z 4154.71\n'
b'2018-11-24T20:38:10.818000Z 4154.71\n'
b'2018-11-24T20:38:11.254000Z 4154.71\n'
b'2018-11-24T20:38:17.185000Z 4154.71\n'
b'2018-11-24T20:38:19.247000Z 4155.0\n'
b'2018-11-24T20:38:22.044000Z 4155.0\n'
b'2018-11-24T20:38:30.245000Z 4155.0\n'
b'2018-11-24T20:38:31.923000Z 4154.99\n'
b'2018-11-24T20:38:35.257000Z 4155.0\n'
b'2018-11-24T20:38:36.523000Z 4155.0\n'
b'2018-11-24T20:38:38.441000Z 4155.0\n'
b'2018-11-24T20:38:39.628000Z 4155.0\n'
b'2018-11-24T20:38:42.324000Z 4154.99\n'
b'2018-11-24T20:38:43.701000Z 4155.0\n'
b'2018-11-24T20:38:43.904000Z 4155.0\n'
b'2018-11-24T20:38:46.592000Z 4155.0\n'
b'2018-11-24T20:38:47.894000Z 4155.0\n'
b'2018-11-24T20:38:50.615000Z 4155.0\n'
b'2018-11-24T20:38:51.208000Z 4154.99\n'
b'2018-11-24T20:38:52.566000Z 4155.0\n'
b'2018-11-24T20:38:53.260000Z 4155.0\n'
b'2018-11-24T20:38:53.581000Z 4154.7\n'
b'2018-11-24T20:38:54.761000Z 4154.71\n'
b'2018-11-24T20:38:59.672000Z 4154.71\n'
b'2018-11-24T20:39:03.697000Z 4154.7\n'
b'2018-11-24T20:39:04.480000Z 4154.71\n'
b'2018-11-24T20:39:05.536000Z 4154.71\n'
b'2018-11-24T20:39:06.997000Z 4154.71\n'
b'2018-11-24T20:39:08.646000Z 4154.7\n'
b'2018-11-24T20:39:10.145000Z 4154.7\n'
b'2018-11-24T20:39:10.685000Z 4154.71\n'
b'2018-11-24T20:39:12.674000Z 4154.71\n'
b'2018-11-24T20:39:17.559000Z 4154.71\n'
b'2018-11-24T20:39:25.098000Z 4154.7\n'
b'2018-11-24T20:39:25.836000Z 4154.71\n'
b'2018-11-24T20:39:26.317000Z 4154.71\n'
b'2018-11-24T20:39:26.871000Z 4154.7\n'
